%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1570512702105447677,6580,1570512702025750000,/map,-18000.0976562,-93650.28125,40.4656829834,-0.00127821760562,-0.0183804988349,-0.308419470408,0.951072002372
1570512702183573987,6581,1570512702125991000,/map,-17999.4824219,-93650.703125,40.4894714355,-0.00239560615477,-0.0178130586787,-0.308873274033,0.950933360757
1570512702303491693,6582,1570512702226138000,/map,-17998.9355469,-93651.1015625,40.518196106,-0.00211235054322,-0.016692897849,-0.309256836857,0.950829687165
1570512702398085829,6583,1570512702326489000,/map,-17998.3339844,-93651.515625,40.5282096863,-0.0011262925058,-0.0166572654579,-0.309643674786,0.950706085832
1570512702480431164,6584,1570512702426632000,/map,-17997.7226562,-93651.953125,40.5498428345,-0.00132324613534,-0.0161452145158,-0.310218731907,0.950527179749
1570512702606428544,6585,1570512702526793000,/map,-17997.1523438,-93652.3671875,40.5535011292,-0.00303183146718,-0.0160626850611,-0.310940470533,0.950288809748
1570512702692595288,6586,1570512702627161000,/map,-17996.5136719,-93652.8046875,40.5903778076,-0.000181298340919,-0.0178893924757,-0.311346831508,0.950127932059
1570512702808848748,6587,1570512702739931000,/map,-17995.9277344,-93653.2421875,40.6067504883,0.000621706240914,-0.0181037479713,-0.31193681133,0.949930151921
1570512702938246249,6588,1570512702827513000,/map,-17995.3652344,-93653.640625,40.631313324,0.00211720923287,-0.0176786971464,-0.312660574524,0.94969802897
1570512702993395996,6589,1570512702932438000,/map,-17994.6972656,-93654.109375,40.6660690308,0.00391435061768,-0.0179658141009,-0.313175874332,0.94951712945
