%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1570518492636121867,78061,1570518492635849952,map,-22853.7987207,-93168.8380123,24.983,0.0,0.0,-0.642364364515,0.766399388832
1570518492723698257,78062,1570518492723406076,map,-22853.7195723,-93169.6586019,24.998,0.0,0.0,-0.672306643553,0.740272772047
1570518492768800503,78063,1570518492768043994,map,-22853.6442654,-93170.4792188,25.014,0.0,0.0,-0.674023498087,0.738709905191
1570518492814478990,78064,1570518492811786890,map,-22853.5405762,-93171.3042707,24.997,0.0,0.0,-0.661553068776,0.74989835124
1570518492856770511,78065,1570518492855369091,map,-22853.7392346,-93172.175596,25.155,0.0,0.0,-0.781758024814,0.623581903714
1570518492902125623,78066,1570518492899640083,map,-22853.6556047,-93172.9953094,25.164,0.0,0.0,-0.670262481203,0.742124117848
1570518492943902100,78067,1570518492943377017,map,-22853.5723169,-93173.8181836,25.164,0.0,0.0,-0.670558992459,0.741856210888
1570518492988494683,78068,1570518492987376928,map,-22853.4909336,-93174.6436969,25.158,0.0,0.0,-0.671524599877,0.740982261435
1570518493031320704,78069,1570518493031071901,map,-22853.4120722,-93175.4998584,24.797,0.0,0.0,-0.673898296798,0.738824123573
1570518493119093181,78070,1570518493118765115,map,-22853.3236422,-93176.3307882,24.809,0.0,0.0,-0.668645871185,0.743580996898
1570518493153209413,78071,1570518493152795076,map,-22853.2375795,-93177.1612313,24.819,0.0,0.0,-0.669670625831,0.742658234249
1570518493197976544,78072,1570518493197083950,map,-22853.1528877,-93177.9933905,24.828,0.0,0.0,-0.670354186665,0.742041282154
1570518493241760030,78073,1570518493240959882,map,-22852.8200614,-93178.7220272,24.436,0.0,0.0,-0.540607809756,0.841274744677
1570518493285890634,78074,1570518493285053968,map,-22852.7352055,-93179.5613974,24.438,0.0,0.0,-0.670603457663,0.741816016658
1570518493330270784,78075,1570518493329582929,map,-22852.6498311,-93180.3998445,24.443,0.0,0.0,-0.67033547533,0.742058185396
1570518493373081873,78076,1570518493372802019,map,-22852.5654613,-93181.2393244,24.441,0.0,0.0,-0.670820901623,0.741619388869
1570518493460495258,78077,1570518493460287094,map,-22852.4356779,-93182.0730579,24.569,0.0,0.0,-0.6504563832,0.759543608725
1570518493511150441,78078,1570518493505079030,map,-22852.3652261,-93182.9164038,24.566,0.0,0.0,-0.677034551705,0.735951231943
1570518493549582141,78079,1570518493548564910,map,-22852.2861284,-93183.7572017,24.547,0.0,0.0,-0.673178623853,0.739479912092
1570518493593337527,78080,1570518493592538118,map,-22852.2169757,-93184.6039463,24.549,0.0,0.0,-0.677717564589,0.735322312083
1570518493637351099,78081,1570518493636604070,map,-22852.1587522,-93185.4795431,24.693,0.0,0.0,-0.683246174121,0.730188102853
1570518493681000911,78082,1570518493680201053,map,-22852.0960132,-93186.3287122,24.71,0.0,0.0,-0.680557853403,0.732694348396
1570518493724397836,78083,1570518493724091053,map,-22852.0384192,-93187.1769993,24.718,0.0,0.0,-0.68273768449,0.73066357113
1570518493811844109,78084,1570518493811566114,map,-22851.9785117,-93188.023092,24.703,0.0,0.0,-0.681678805788,0.731651560334
1570518493856434629,78085,1570518493855879068,map,-22851.669403,-93188.6799134,23.95,0.0,0.0,-0.535809932745,0.844338626365
1570518493901401697,78086,1570518493900352001,map,-22851.6125484,-93189.5263867,23.955,0.0,0.0,-0.68300239096,0.730416137516
1570518493944071467,78087,1570518493943872928,map,-22851.5591057,-93190.3711134,23.951,0.0,0.0,-0.684419453545,0.729088479959
1570518493990066380,78088,1570518493988265037,map,-22851.5074149,-93191.2121195,23.943,0.0,0.0,-0.685073986565,0.72847349501
1570518494033267156,78089,1570518494032851934,map,-22851.6710237,-93192.0450023,24.236,0.0,0.0,-0.772254167824,0.635313702259
1570518494119851636,78090,1570518494119568109,map,-22851.5946622,-93193.7242839,24.252,0.0,0.0,-0.69085969533,0.722988852866
1570518494198676057,78091,1570518494197587013,map,-22851.5660919,-93194.5575772,24.259,0.0,0.0,-0.694886376513,0.719119547597
1570518494297105633,78092,1570518494283528089,map,-22851.551105,-93195.4065519,24.395,0.0,0.0,-0.700838717555,0.71331976839
1570518494297133472,78093,1570518494286056995,map,-22851.52267,-93196.2453176,24.419,0.0,0.0,-0.695024614803,0.718985942017
1570518494329491997,78094,1570518494329227924,map,-22851.4922177,-93197.0789115,24.424,0.0,0.0,-0.69407960168,0.719898261237
1570518494373374797,78095,1570518494373182058,map,-22851.4633185,-93197.9142765,24.44,0.0,0.0,-0.694775530801,0.71922664147
1570518494417813729,78096,1570518494417437076,map,-22851.2439555,-93198.7860085,24.309,0.0,0.0,-0.614803802258,0.788680090233
1570518494506163799,78097,1570518494505353927,map,-22851.2130481,-93199.6197885,24.307,0.0,0.0,-0.693886311881,0.720084568772
1570518494549138364,78098,1570518494548918008,map,-22851.1737728,-93200.446878,24.303,0.0,0.0,-0.690133059993,0.723682499101
1570518494593904504,78099,1570518494593637943,map,-22851.1382871,-93201.2774894,24.302,0.0,0.0,-0.691851338706,0.722039974746
1570518494637579718,78100,1570518494637304067,map,-22851.3123157,-93202.9851119,26.748,0.0,0.0,-0.742087468051,0.670303058147
1570518494682268813,78101,1570518494681404113,map,-22851.2842016,-93203.812691,26.751,0.0,0.0,-0.694999332794,0.719010380604
1570518494725098933,78102,1570518494724664926,map,-22851.2587657,-93204.6425745,26.759,0.0,0.0,-0.696191209012,0.717856392668
1570518494769043927,78103,1570518494768775939,map,-22851.232787,-93205.467985,26.762,0.0,0.0,-0.695895820546,0.718142748307
1570518494812768698,78104,1570518494812495946,map,-22851.9152455,-93205.948104,25.223,0.0,0.0,-0.953383311403,0.301761928578
1570518494901482560,78105,1570518494901097059,map,-22851.8889402,-93206.7703722,25.212,0.0,0.0,-0.695710120455,0.71832264916
1570518494944681857,78106,1570518494944468021,map,-22851.8651838,-93207.591913,25.227,0.0,0.0,-0.696812486611,0.717253343319
1570518495030429813,78107,1570518495030141115,map,-22851.8416965,-93208.411752,25.223,0.0,0.0,-0.696908551526,0.717160003632
1570518495074381852,78108,1570518495074071884,map,-22852.0950624,-93210.108155,27.645,0.0,0.0,-0.757534259455,0.652795408801
1570518495076543676,78109,1570518495076272964,map,-22852.0669385,-93210.9257871,27.652,0.0,0.0,-0.694846585063,0.719157996011
1570518495120953594,78110,1570518495120644092,map,-22852.0422433,-93211.7423012,27.647,0.0,0.0,-0.696336536004,0.717715423149
1570518495196309673,78111,1570518495196103096,map,-22852.0187975,-93212.5605502,27.656,0.0,0.0,-0.696906795026,0.717161710528
1570518495240301578,78112,1570518495240047931,map,-22851.9255121,-93213.3207721,27.609,0.0,0.0,-0.662648241087,0.748930776898
1570518495327827709,78113,1570518495327538967,map,-22851.8997043,-93214.1356435,27.612,0.0,0.0,-0.695825007327,0.718211361076
1570518495372451846,78114,1570518495371746063,map,-22851.8748745,-93214.9529714,27.623,0.0,0.0,-0.696288275762,0.717762242694
1570518495416366007,78115,1570518495415932893,map,-22851.852696,-93215.7680186,27.633,0.0,0.0,-0.697423412685,0.716659321742
1570518495460257009,78116,1570518495459888935,map,-22851.6782726,-93215.6504991,24.767,0.0,0.0,0.292125656953,0.956379945707
1570518495503787119,78117,1570518495503474950,map,-22851.6611835,-93216.4666612,24.78,0.0,0.0,-0.699666432198,0.714469652018
1570518495547839200,78118,1570518495547540903,map,-22851.6467655,-93217.2823174,24.78,0.0,0.0,-0.700830276192,0.713328061955
1570518495593076566,78119,1570518495591680049,map,-22851.6313107,-93218.0962937,24.789,0.0,0.0,-0.700363002184,0.713786848556
1570518495679940324,78120,1570518495678952932,map,-22851.4647361,-93219.4538737,26.8,0.0,0.0,-0.66265135315,0.748928023356
1570518495724087913,78121,1570518495723726987,map,-22851.4447355,-93220.2595045,26.807,0.0,0.0,-0.698277040346,0.715827615369
1570518495772096900,78122,1570518495767344951,map,-22851.4253164,-93221.0669457,26.816,0.0,0.0,-0.69855452578,0.715556828289
1570518495811370654,78123,1570518495811069965,map,-22851.4110892,-93221.8739856,26.809,0.0,0.0,-0.700847289919,0.713311345917
1570518495855156127,78124,1570518495854871034,map,-22851.6037801,-93222.787037,26.961,0.0,0.0,-0.776689217735,0.629884004444
1570518495942636157,78125,1570518495942378044,map,-22851.5882738,-93223.5926379,26.968,0.0,0.0,-0.700269765615,0.71387831972
1570518495943310779,78126,1570518495942802906,map,-22851.5697332,-93224.3931806,26.965,0.0,0.0,-0.698872725877,0.715246050688
1570518496030529346,78127,1570518496030260086,map,-22851.5563733,-93225.1949119,26.976,0.0,0.0,-0.701191292534,0.712973191133
1570518496075794657,78128,1570518496074776887,map,-22850.990846,-93225.5048066,26.43,0.0,0.0,-0.248027427789,0.968753010351
1570518496118949419,78129,1570518496118720054,map,-22850.9764137,-93226.3027875,26.435,0.0,0.0,-0.70068428064,0.713471470253
1570518496156221695,78130,1570518496155407905,map,-22850.9653169,-93227.104809,26.439,0.0,0.0,-0.702198398538,0.711981326364
1570518496198139253,78131,1570518496196809053,map,-22850.9521925,-93227.903637,26.445,0.0,0.0,-0.701274795574,0.712891058362
